"Libellé";"Nuitées dans l'hôtellerie - Total - Normandie";"Codes"
"idBank";"010598624";""
"Dernière mise à jour";"07/12/2023 13:17";""
"Période";"";""
"2023-09";"838";"A"
"2023-08";"1002";"A"
"2023-07";"906";"A"
"2023-06";"852";"A"
"2023-05";"837";"A"
"2023-04";"689";"A"
"2023-03";"491";"A"
"2023-02";"450";"A"
"2023-01";"362";"A"
"2022-12";"422";"A"
"2022-11";"522";"A"
"2022-10";"660";"A"
"2022-09";"818";"A"
"2022-08";"1127";"A"
"2022-07";"1004";"A"
"2022-06";"829";"A"
"2022-05";"805";"A"
"2022-04";"647";"A"
"2022-03";"510";"A"
"2022-02";"423";"A"
"2022-01";"314";"A"
"2021-12";"397";"A"
"2021-11";"515";"A"
"2021-10";"642";"A"
"2021-09";"710";"A"
"2021-08";"948";"A"
"2021-07";"792";"A"
"2021-06";"537";"A"
"2021-05";"426";"A"
"2021-04";"165";"A"
"2021-03";"252";"A"
"2021-02";"278";"A"
"2021-01";"191";"A"
"2020-12";"197";"A"
"2020-11";"140";"A"
"2020-10";"478";"A"
"2020-09";"611";"A"
"2020-08";"970";"A"
"2020-07";"800";"A"
"2020-06";"360";"A"
"2020-05";"67";"A"
"2020-04";"25";"A"
"2020-03";"266";"A"
"2020-02";"464";"A"
"2020-01";"400";"A"
"2019-12";"430";"A"
"2019-11";"523";"A"
"2019-10";"677";"A"
"2019-09";"816";"A"
"2019-08";"1055";"A"
"2019-07";"933";"A"
"2019-06";"934";"A"
"2019-05";"764";"A"
"2019-04";"721";"A"
"2019-03";"574";"A"
"2019-02";"461";"A"
"2019-01";"390";"A"
"2018-12";"449";"A"
"2018-11";"525";"A"
"2018-10";"693";"A"
"2018-09";"821";"A"
"2018-08";"1050";"A"
"2018-07";"940";"A"
"2018-06";"824";"A"
"2018-05";"806";"A"
"2018-04";"699";"A"
"2018-03";"544";"A"
"2018-02";"427";"A"
"2018-01";"367";"A"
"2017-12";"430";"A"
"2017-11";"510";"A"
"2017-10";"658";"A"
"2017-09";"777";"A"
"2017-08";"984";"A"
"2017-07";"899";"A"
"2017-06";"810";"A"
"2017-05";"760";"A"
"2017-04";"748";"A"
"2017-03";"525";"A"
"2017-02";"429";"A"
"2017-01";"368";"A"
"2016-12";"423";"A"
"2016-11";"472";"A"
"2016-10";"682";"A"
"2016-09";"767";"A"
"2016-08";"968";"A"
"2016-07";"906";"A"
"2016-06";"736";"A"
"2016-05";"745";"A"
"2016-04";"609";"A"
"2016-03";"535";"A"
"2016-02";"411";"A"
"2016-01";"347";"A"
"2015-12";"403";"A"
"2015-11";"424";"A"
"2015-10";"621";"A"
"2015-09";"747";"A"
"2015-08";"955";"A"
"2015-07";"891";"A"
"2015-06";"790";"A"
"2015-05";"774";"A"
"2015-04";"662";"A"
"2015-03";"506";"A"
"2015-02";"399";"A"
"2015-01";"347";"A"
"2014-12";"392";"A"
"2014-11";"470";"A"
"2014-10";"651";"A"
"2014-09";"792";"A"
"2014-08";"1027";"A"
"2014-07";"885";"A"
"2014-06";"825";"A"
"2014-05";"747";"A"
"2014-04";"645";"A"
"2014-03";"505";"A"
"2014-02";"403";"A"
"2014-01";"348";"A"
"2013-12";"380";"A"
"2013-11";"483";"A"
"2013-10";"618";"A"
"2013-09";"729";"A"
"2013-08";"1012";"A"
"2013-07";"886";"A"
"2013-06";"797";"A"
"2013-05";"776";"A"
"2013-04";"587";"A"
"2013-03";"542";"A"
"2013-02";"385";"A"
"2013-01";"348";"A"
"2012-12";"385";"A"
"2012-11";"492";"A"
"2012-10";"601";"A"
"2012-09";"788";"A"
"2012-08";"967";"A"
"2012-07";"859";"A"
"2012-06";"771";"A"
"2012-05";"753";"A"
"2012-04";"657";"A"
"2012-03";"543";"A"
"2012-02";"412";"A"
"2012-01";"359";"A"
"2011-12";"388";"A"
"2011-11";"466";"A"
"2011-10";"691";"A"
"2011-09";"771";"A"
"2011-08";"961";"A"
"2011-07";"881";"A"
"2011-06";"855";"A"
"2011-05";"726";"A"
"2011-04";"722";"A"
"2011-03";"504";"A"
"2011-02";"416";"A"
"2011-01";"344";"A"
